CATÉGORIE D'ÉVÉNEMENT	GROUPE D'ÉVÉNEMENT	SOUS-GROUPE D'ÉVÉNEMENT	TYPE D'ÉVÉNEMENT	ENDROIT	DATE DU DÉBUT DE L'ÉVÉNEMENT	COMMENTAIRES	VICTIMES	BLESSÉS / INFECTÉS	ÉVACUÉS	COÛT TOTAL ESTIMÉ	COÛT TOTAL NORMALIZE	DATE DE FIN DE L'ÉVÉNEMENT	PAIEMENTS FÉDÉRAUX DES AAFCC	PAIEMENTS PROVINCIAUX DES AAFCC	PAIEMENTS DES DÉPARTEMENTS PROVINCIAUX	COÛTS MUNICIPAUX	COÛTS D'AMG	PAIEMENTS D'ASSURANCE	PAIEMENTS D'O.N.G.	SERVICES PUBLICS - PERSONNES AFFECTÉES	MAGNITUDE	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région centre, sud et ouest de Terre-Neuve	11/01/1983 12:00:00 AM	Région centre, sud et ouest de Terre-Neuve, du 11 au 19 janvier 1983. Une inondation, provoquée par un redoux et la chute de 189 mm de pluie en 36 heures pendant une grosse tempête d'hiver endommage des résidences, des commerces et des routes le long des rivières Exploits et Gander (centre), Conne (sud) et à Stephenville (ouest); environ 4 millions de dollars de dommages; plusieurs maisons, deux wagons de train et un club local sont emportés par les eaux; environ 500 personnes sont évacuées; plusieurs effondrements de terrain surviennent le long des routes du centre de Terre-Neuve, forçant les voyageurs à chercher refuge; on ne déplore ni perte de vie ni blessure; les inondations dans les bassins des rivières Exploits et Gander endommagent le barrage et la centrale électrique de Bishop's Falls, sur la rivière Exploits.	0	0	500	6367841.0000	657608.4	19/01/1983 12:00:00 AM	3879494.0000	2484696.0000					3651.0000	0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de véhicule	Curling (T.-N.-L.)	10/01/1983 12:00:00 AM	Curling (T.-N.-L.), le 10 janvier 1983. Un camion citerne transportant 2 377,8 litres d'essence sur la côte glacée du chemin O'Connell à Curling (banlieue de Corner Brook) se met à dévaler la pente à reculons et atterrit dans un fossé rocheux couvert de neige. Les roches percent cinq trous dans les trois compartiments de la citerne et l'essence commence à fuir. Le conducteur est coincé derrière le volant de la cabine écrasée. La plupart des habitants de la ville sont évacués.	0	1	24339			10/01/1983 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Épisode froid	Est du Canada	01/01/1983 12:00:00 AM	Est du Canada, 1983. La plupart des dommages touchent le secteur de la pomiculture.	0	0	0			01/01/1983 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Sécheresse	Provinces des Prairies	01/01/1983 12:00:00 AM	Provinces des Prairies, 1983. Une sécheresse touche les cultures céréalières dans certaines parties des Prairies; la production baisse de 7,5 % car la sécheresse a débuté pendant la saison de croissance.	0	0	0	0.0000	0.0	01/01/1983 12:00:00 AM	0.0000			0.0000				0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Centre de l'Alberta	01/01/1983 12:00:00 AM	Centre de l'Alberta, 1983.	0	0	0			01/01/1983 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Conflit	Terroriste	Attaques de bombe	Toronto (ON)	14/10/1982 12:00:00 AM	Toronto (Ontario), 14 octobre 1982. Litton Industries, un fabricant de dispositifs pour des missiles de croisière étasuniens, a été l’objet d’un attentat à la bombe. Un petit groupe anarchiste, Direct Action, aussi connu sous le nom de Squamish Five, a revendiqué la responsabilité de l’attentat qui a fait dix blessés. Le groupe a également revendiqué la responsabilité du bombardement d’une sous-station hydroélectrique de Vancouver (Colombie-Britannique) en protestation contre la pollution, la pornographie et l’industrie de l’armement. Les cinq principaux membres du groupe ont été arrêtés en janvier 1983 et ont purgé une peine d’emprisonnement allant de quatre à huit ans.	0	10	0			14/10/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Grande Prairie (AB)	13/07/1982 12:00:00 AM	Grande Prairie (AB), 13-15 juillet 1982 et 1-3 août 1982. La plus grande partie du bassin de la rivière Smoky, en amont du confluent des rivières Wapiti et Smoky, reçoit plus de 100 mm de précipitations. L\'intensité de la pluie surcharge le réseau d\'égouts pluviaux et sanitaires de Grande Prairie et provoque l\'inondation de nombreux sous-sols. La deuxième tempête, du 1er au 3 août, établit un nouveau record de chutes de pluie en 24 heures pour le mois d\'août à Grande Prairie. L\'inondation cause des dommages importants aux immeubles, aux routes, aux ponts et aux voies ferrées dans le bassin de la rivière Smoky.	0	0	0			03/08/1982 12:00:00 AM	0.0000	0.0000						115994	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tornade	Montréal (Sainte-Rose) (QC)	14/06/1982 12:00:00 AM	Montréal (Sainte-Rose) (QC), 14 juin 1982. Cinq morts, 26 blessés; dommages considérables; des centaines de maisons et de granges sont rasées.	5	26	0			14/06/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Aklavik (T.N.-O.)	01/06/1982 12:00:00 AM	Aklavik (T.N.-O.), 1982. L'écoulement printanier et les embâcles causent une inondation et des dommages importants.	0	0	0	141412.0000	15454.9	06/06/1982 12:00:00 AM	46278.0000	95134.0000						0	0.0	
Incident	Conflit	Terroriste	Attaques de bombe	Dunsmuir, île de Vancouver (C.-B.)	31/05/1982 12:00:00 AM	Dunsmuir (C.-B.), 31 mai 1982. Une sous-station de la BC Hydro sur l'île de Vancouver est dynamitée par « Action Directe », un groupe d'extrême-gauche. Le groupe proteste contre le développement industriel.	0	0	0			31/05/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Sherbrooke (QC)	17/04/1982 12:00:00 AM	Sherbrooke (QC), 17 au 20 avril 1982. La rivière St-François inonde complètement le centre-ville de Sherbrooke avec 3 mètres d'eau au centre-ville. 100 commerces inondées; 300 personnes évacuées.	0	0	300			17/04/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de déraillement	Orillia (ON)	28/02/1982 12:00:00 AM	Orillia (ON), 28 février 1982. 1200 personnes évacuées; un train de marchandises transportant des produits chimiques toxiques et des liquides inflammables déraille près d'Orillia.	0	0	1200			28/02/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Îles-de-la-Madeleine (QC)	22/02/1982 12:00:00 AM	Îles-de-la-Madeleine (QC), 22 février 1982. Tempête de neige importante qui a occasionné une panne générale d'électricité du : 22-02-82 au 04-03-82. 75 personnes évacuées; 6 000 résidents affectés.	0	0	75			22/02/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	 Île-du-Prince-Édouard	22/02/1982 12:00:00 AM	Île-du-Prince-Édouard, 22-26 février 1982. Un blizzard paralyse la province pendant cinq jours; la neige (60 cm) poussée par des vents de 80 km/h forme des amoncellements dépassant parfois 7 mètres.	0	0	0	1585054.0000	173229.9	22/02/1982 12:00:00 AM	1340291.0000	244763.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Au large de Terre-Neuve	14/02/1982 12:00:00 AM	Au large de Terre-Neuve, les 14 et 15 février 1982. La plateforme de forage Ocean Ranger chavire et coule au large de la côte est de Terre-Neuve durant une violente tempête hivernale accompagnée de vents de plus de 100 km/h. La plupart des canots de sauvetage se brisent contre les piliers de la plateforme et coulent ou sont renversés par les vagues. L'équipage n'a pas de combinaisons de survie. Lorsque le vaisseau de ravitaillement arrive sur les lieux, moins d'une heure après y avoir été dépêché, un seul canot de sauvetage flotte encore avec des survivants à son bord. Le canot chavire lentement entraînant dans la mort tous ceux qui s'y trouvent. En tout, 84 personnes périssent. Une violente tempête fait sombrer le  Mechanic Tarasov  : 33 personnes trouvent la mort.	117	0	0			14/02/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Explosion	Non résidentiel	Lodgepole (AB)	01/02/1982 12:00:00 AM	Lodgepole (AB), février 1982. Deux morts; une explosion dans un puits de gaz sulfureux provoque un le panache de gaz s'étend sur plus de 400 km; on estime que 3,2 millions de mètres cubes de gaz naturel s'échappent du puits chaque jour, pendant 67 jours, avant que la fuite soit colmatée.	2	0	0			01/02/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Labrador City (T.-N.-L.)	19/01/1982 12:00:00 AM	Labrador City (T.-N.-L.), 19 janvier 1982. Pendant les jours menant à l'évènement du 18 janvier, les températures étaient entre -12 et -35 degrés Celsius. Le 18, les températures ont diminué à entre -30 et -40 degrés Celsius. Des vents de l'ouest de 65 km / h, avec des rafales de vent jusqu'à 111 km / h survenant pendant les heures du soir, ont causé un refroidissement éolien de -53 à -58 degrés Celsius. De fortes chutes de neige et des vents violents ont réduit la visibilité à près de zéro, et ont été la cause d'une panne de courant à la Cour de roulottes Harrie Lake. La panne a laissé les résidents sans chaleur ou électricité, et le froid extrême a causé les conduites d'eau à geler et éclater au sein de la majorité des résidences. Le maire a déclaré l'état d'urgence local, des chargeuses et des tombereaux ont été amenés afin de créer des voies d'accès, et 2 000 résidents de la Cour de roulottes ont été évacués vers l'école A.P. Lowe.	0	0	2000			19/01/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Épisode froid	Pancanadienne	05/01/1982 12:00:00 AM	Pancanadienne, du 5 au 28 janvier 1982. Cette vague de froid dure trois semaines. Des camions et des trains tombent en panne et sont abandonnés jusqu'au retour de températures plus douces, un pont d'acier endommagé force les automobilistes sur la route de l'Alaska à faire un détour de 200 km. Dans certains secteurs de l'Ontario, plus de 25 routes sont fermées en raison de la poudrerie et de la faible visibilité. Dans le nord des Prairies, le 17 janvier, on enregistre des températures atteignant - 47°C.	0	0	0			05/01/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de déraillement	Medonte (ON)	01/01/1982 12:00:00 AM	Medonte (ON), 1982. Le déversement de produits chimiques toxiques lors du déraillement d’un train a nécessité l’évacuation de centaines de personnes.	0	0	200			01/01/1982 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Hay River (NT)	01/01/1982 12:00:00 AM	Hay River (NT), 1982.	0	0	0	572824.0000	62603.7	01/01/1982 12:00:00 AM	413342.0000	159482.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Vancouver (C.-B.)	30/10/1981 12:00:00 AM	Région métropolitaine de Vancouver (C.-B.), 30-31 octobre 1981. Une forte pluie déverse environ 70 mm d'eau et provoque l'emportement de routes et de voies ferrées, l'inondation d'immeubles et de l'érosion. Les vents violents accompagnant la pluie causent des pannes d'électricité dans toute la région métropolitaine de Vancouver, dans la vallée du Fraser et le long de la région côtière appelée Sunshine Coast. Des ouvrages de drainage et des collecteurs d'eau pluviale bloqués causent des dégâts importants dans les secteurs environnants. L'inondation se situe surtout le long des ruisseaux suivants : Lynn Creek, Seymour Creek et Mosquito Creek. Les secteurs qui subissent les plus grands dommages sont : le district de Vancouver-Nord, la ville de Vancouver-Nord, Pemberton, Squamish et Howe Sound. Des dommages sont aussi signalés dans des réserves de Premières nations. Un adolescent de 17 ans se noie en tentant de traverser un ruisseau; quatre personnes sont portées disparues et cinq autres sont tuées lorsqu'un pont est emporté.	10	0	0	3130147.0000	379411.8	31/10/1981 12:00:00 AM	217888.0000	2912259.0000						0	0.0	
Désastre	Naturel	Géologique	Éboulement	Squamish (C.-B.)	28/10/1981 12:00:00 AM	M-Creek Bridge, autoroute 99, Squamish (C.-B.), 28 octobre 1981. Neuf morts; des voitures plongent dans un ruisseau après qu'une coulée de débris emporte un pont à la suite de pluies torrentielles et d'une crue.	9	0	0			28/10/1981 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Westfield et Grand Bay (N.-B.)	01/08/1981 12:00:00 AM	Westfield et Grand Bay (N.-B.), août 1981. De fortes pluies endommagent des rues et des ouvrages de drainage dans les deux villages.	0	0	0			01/08/1981 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Calgary (AB)	28/07/1981 12:00:00 AM	Calgary (AB), le 28 juillet 1981. Une des tempêtes de grêle les plus dévastatrices à avoir frappé le Canada s'abat sur Calgary. Elle dure 15 minutes. Deux personnes sont tuées. 	2	0	0			28/07/1981 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Accident de transport	Marin	la côte nord de Terre-Neuve	03/07/1981 12:00:00 AM	Terre-Neuve, 3 juillet 1981. 13 morts, 19 survivants: le navire « Arctic Explorer » aurait frappé un iceberg avant de sombrer dans les eaux glaciales au large de la côte nord de Terre-Neuve.	13	19	0			03/07/1981 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	St-Hilaire (QC)	29/04/1981 12:00:00 AM	St-Hilaire, le côte sud de Montréal (QC), 29 avril 1981. Provenant d'un réservoir avarié de la raffinerie de sucre du Québec (anhydride sulfureux). 800 personnes évacuées. (250 familles)	0	0	800			29/04/1981 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Avalanche	Golden (C.-B.)	23/02/1981 12:00:00 AM	Golden (C.-B.), 23 février 1981. Une avalanche emporte trois héliskieurs près de Conrad Icefield, à l'ouest de Golden (BC).	3	0	0			23/02/1981 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région sud-est de l'Ontario	18/02/1981 12:00:00 AM	Région sud-est de l'Ontario, du 18 au 20 février 1981. Les bassins des rivières des Outaouais et Rideau, dans le sud-est de la province, sont inondés, ainsi que Toronto.	0	0	0	1668590.0000	202253.3	20/02/1981 12:00:00 AM	0.0000	0.0000		1668590.0000				0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Edmonton (AB)	01/01/1981 12:00:00 AM	Edmonton (AB), 1981. Un orage laisse 56 mm de pluie en moins de trois heures, provoquant de graves inondations un peu partout; les inondations causent de l\'érosion, des glissements de terrain et quatre morts.	4	0	0			01/01/1981 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Sussex (NB)	01/01/1981 12:00:00 AM	Sussex (NB), 1981. L'inondation cause des dommages aux biens et entraîne l'évacuation de 20 familles (en supposant des familles de quatre personnes).	0	0	80	22248.0000	2696.7	01/01/1981 12:00:00 AM	0.0000	0.0000	22248.0000					0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Sécheresse	Québec	01/01/1981 12:00:00 AM	Québec, 1981. Une sécheresse cause des dommages importants aux cultures de pommes de la province (745 000 pommiers meurent); la récolte provinciale est réduite de 35 % pour les dix prochaines années.	0	0	0			01/01/1981 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Sécheresse	Provinces des Prairies	01/01/1981 12:00:00 AM	Provinces des Prairies, 1981. Grave sécheresse générale affectant l'eau de surface.	0	0	0	1854.0000	224.7	01/01/1981 12:00:00 AM	0.0000	0.0000					1854.0000	0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Rivière Squamish (BC)	26/12/1980 12:00:00 AM	Rivière Squamish (BC), le 26 et 27 décembre 1980. De fortes pluies conjuguées à la fonte des neiges provoquent une crue des eaux le long de la rivière Squamish et d'autres rivières voisines, inondant les secteurs tels que Brackendale, Squamish, Princeton, Coalmont, Hope et l'île de Vancouver. Plusieurs ponts sont emportés. On estime à 3 000 le nombre de personnes évacuées et à 200 le nombre de maisons endommagées.	0	0	3000	10143000.0000	1383136.4	27/12/1980 12:00:00 AM	4328769.0000	5814231.0000						119127	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Région sud-ouest de la Colombie-Britannique	04/12/1980 12:00:00 AM	Région sud-ouest de la Colombie-Britannique, 4 décembre 1980. Un violent blizzard apporte de la neige abondante (de 20 à 30 cm), des vents forts et des températures exceptionnellement basses dans le sud-ouest de la Colombie-Britannique et à Victoria; trois morts.	3	0	0			04/12/1980 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Le feu	Résidentiel	Mississauga (ON)	14/07/1980 12:00:00 AM	Mississauga (ON), 14 juillet 1980; un incendie ravage un foyer pour personnes âgées, faisant 21 morts et 35 blessés.	21	35	0			14/07/1980 12:00:00 AM	0.0000							0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région de la Gaspésie (QC)	06/07/1980 12:00:00 AM	Région de la Gaspésie (QC), 6 et 7 juillet 1980. Des pluies diluviennes de 150 mm causent des inondations et occasionnent des glissements de terrain. Hausse du niveau de la rivière Grande-Vallée de 4 mètres. Les municipalités entre Grande-Vallée et Gaspé sont isolées suite à la fermeture de plusieurs routes et 2 ponts endommagés. 150 résidences on été inondées  don’t deux complètement détruites et trois lourdement endommagées à Gaspé. 40 familles évacuées par hélicoptère.	0	0	160			07/07/1980 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Red Lake (ON)	01/06/1980 12:00:00 AM	Red Lake (ON), juin 1980. 43 664,76 hectares de forêt ravagés, 5000 personnes évacuées, desquelles 3600 sont transportées par avion jusqu\'à Winnipeg.	0	0	5000			01/06/1980 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Accident de transport	Véhicule	Webb (SK)	28/05/1980 12:00:00 AM	Webb (SK), 28 mai 1980. 22 morts et 11 blessés. Collision entre un autobus et un camion sur la Transcanadienne près de Webb: l'autobus transportait des travailleurs du CP.	22	11	0			28/05/1980 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Géologique	Éboulement	Belmoral Mine, Val d'Or, (QC)	20/05/1980 12:00:00 AM	Val d'Or (QC), le 20 mai 1980.  L'éboulement d'un talus de plafond de mine provoqué une coulée de sédiment lacustre dans les sièges d'extraction.	8	0	0			20/05/1980 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région sud de l'Ontario	21/03/1980 12:00:00 AM	Région sud de l'Ontario, les 21 et 22 mars 1980; le sud-ouest de la province est inondé, particulièrement la région de Ganaraska et de la rivière Lower Trent; plusieurs routes et commerces sont fermés.	0	0	0			22/03/1980 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Le feu	Résidentiel	Hamilton (ON)	01/01/1980 12:00:00 AM	Hamilton (ON), 1980. Des centaines de membres du personnel évacuent plus de 600 patients de l'hôpital St. Joseph; aucun décès.	0	0	600			01/01/1980 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Drumheller (AB)	01/01/1980 12:00:00 AM	Drumheller (AB), 1980.	0	0	0			01/01/1980 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Conflit	Incendie criminel	Résidentiel	Région Chapais de Chibougamau (QC)	01/01/1980 12:00:00 AM	Région Chapais de Chibougamau (QC), 1 janvier 1980. Incendie criminel du Club Opemiska (club social propriété de la cie Falconbridge). 45 morts; 55 blessés; mise sur pied d'un comité d'aide aux sinistrés.	45	55	0			01/01/1980 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	île de Vancouver (C.-B.)	18/12/1979 12:00:00 AM	île de Vancouver (C.-B.), le 18 décembre 1979. Des pluies diluviennes continues accompagnées de vents violents causent des dégâts importants produits par l'inondation et des glissements de terrain. Les rivières Campbell, Gold et Oyster, sur l'île de Vancouver, débordent. Sur la terre ferme, Surrey, Haztic, Port Moody, Squamish et quelques réserves de Premières nations signalent que l'inondation a causé des dégâts à des bâtiments et à des terrains publics, privés et municipaux. De 15 à 30 cm d'eau recouvrent et endommagent des routes, des ponts et le Western Speedway.	0	0	0	2642670.0000	396400.5	18/12/1979 12:00:00 AM	26635.0000	2616035.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de déraillement	Mississauga (ON)	10/11/1979 12:00:00 AM	Mississauga (ON), 10-16 November 1979. 225 000 personnes évacuées.  Un train du CP de 106 wagons transportant une grande quantité de produits chimiques dangereux déraille près du chemin Morris à Mississauga et explose après avoir pris feu. La présence des wagons de chlore près de wagons de propane, qui auraient pu exploser et créer un nuage toxique, force l'évacuation de la population.	0	0	225000			16/11/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Ouragan / ouragan / tempête tropicale	Région sud du Québec	13/09/1979 12:00:00 AM	Région sud du Québec, 13 septembre 1979. L'ouragan Frederic apporte plus de 80 mm de pluie.	0	0	0			13/09/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Ouragan / ouragan / tempête tropicale	Nouveau-Brunswick	06/09/1979 12:00:00 AM	Nouveau-Brunswick, les 6 et 7 septembre 1979. Tempête tropicale David. Le secteur de Hall's Creek de Moncton (Nouveau-Brunswick) est touché.	0	0	0			07/09/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tornade	Woodstock (ON)	07/08/1979 12:00:00 AM	Woodstock (ON), 7 âout 1979. Deux morts.	2	0	0			07/08/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Montréal (QC)	05/06/1979 12:00:00 AM	Montréal (QC), 5 juin 1979. Un violent orage accompagné de grêle et de fortes pluies cause des dégâts considérables.	0	0	0			05/06/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région centrale de l'Ontario	12/05/1979 12:00:00 AM	Région centrale de l'Ontario, 12 mai 1979. Des rivières, parmi lesquelles la White, la Mississagi, la Goulais, la Spanish et la Wanapetei, sortent de leur lit en mai 1979; des routes et des commerces doivent fermer et les services publics sont perturbés dans la localité de White River.	0	0	0			12/05/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Dawson (YT)	03/05/1979 12:00:00 AM	Dawson (YT), 3 mai 1979. Un embâcle sur la rivière Yukon fait monter le niveau d'eau de 2 m; 80 % des immeubles de Dawson sont inondés.	0	0	0	1854000.0000	278100.0	03/05/1979 12:00:00 AM	1682054.0000	171946.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région centrale de l'Ontario	24/04/1979 12:00:00 AM	Région centrale de l'Ontario, 24 avril 1979. Les régions entourant le lac Nipissing et bordant les rivières Mississagi, Blind et Mattagami sont inondées en avril 1979. Plusieurs routes fermées près du lac Nipissing et de la Mattagami.	0	0	0			24/04/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Nouveau-Brunswick	24/04/1979 12:00:00 AM	Nouveau-Brunswick, 24 avril au 7 mai 1979. Une forte pluie et la fonte des neiges ont causé une grave inondation dans la plupart des régions de la province. Un niveau record d'évacuation d'eau a été relevé dans certaines stations hydrométriques. Plusieurs grandes routes furent fermées et de nombreux résidants évacués à cause de l'inondation de leur maison.	0	0	0	3227650.0000	484147.5	07/05/1979 12:00:00 AM	1545488.0000	1682162.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région de la rivière Rouge (MB)	01/04/1979 12:00:00 AM	Région de la rivière Rouge (MB), avril et mai 1979. Une inondation majeure, atteignant presque les niveaux de crue de 1950, frappe la région de la rivière Rouge; la plupart des dégâts se produisent dans la vallée; aucune collectivité n'est inondée, car on élève temporairement les digues qui les protègent; 10 000 personnes sont évacuées, dont 1450 Morris et 400 à Roseau Reserve; le bétail et la volaille sont aussi évacués.	0	0	10000	18557303.0000	2783595.5	31/05/1979 12:00:00 AM	14670604.0000	3886699.0000						0	0.0	
Incident	Technologie	Accident de transport	L'air	Québec (QC)	29/03/1979 12:00:00 AM	Québec (QC), 29 mars 1979. L'écrasement d'un F-27 au décollage à aéroport de Québec a fait 17 morts et 7 blessés.	17	7	0			29/03/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région sud-ouest de l'Ontario	05/03/1979 12:00:00 AM	Région sud-ouest de l'Ontario, 5 mars 1979. Les rivières Thames, Saugeen et Grand sont parmi celles qui sortent de leur lit en mars 1979. Un grand nombre de routes sont fermées le long de la Thames et plusieurs commerces sur la Grand; les services publics sont perturbés dans certaines collectivités bordant la Thames, la Saugeen et la Grand.	0	0	0			05/03/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Explosion	Non résidentiel	Glace Bay (N.-É.)	24/02/1979 12:00:00 AM	Glace Bay (N.-É.), 24 février 1979. Une explosion dans la mine no 26 fait 12 morts et quatre blessés.	12	4	0			24/02/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	North York (ON)	21/02/1979 12:00:00 AM	North York (ON), le 21 février 1979. La fuite d'essence de North York a lieu le matin du 21 février 1979 à Imperial Oil. L'essence s'échappe d'un séparateur et s'infiltre dans le réseau d'égout sous un secteur industriel délimité par Finch et Sheppard au nord et au sud et par Keele et Dufferin à l'ouest et à l'est. On estime que la quantité d'essence qui s'est déversée dans le ruisseau Dufferin se situe entre 800 et 2 000 gallons.	0	0	5000			21/02/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Avalanche	Golden (C.-B.)	14/02/1979 12:00:00 AM	Colombie-Britannique, 14 février 1979. September héliskieurs perdent la vie dans une avalanche dans les monts Purcell, au sud-ouest de Golden, en Colombie-Britannique.	7	0	0			14/02/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Épisode froid	Du Yukon à l'Ontario	08/02/1979 12:00:00 AM	Du Yukon à l'Ontario, du 8 au 20 février 1979. Le froid ralentit de 75 % le débit des Transcanadia et Alaska Pipelines, causant des pannes de chaudières par manque de mazout; des canalisations éclatent à Toronto; le 20 février, pour la première fois dans l'histoire, les cinq Grands Lacs gèlent, interrompant la circulation fluviale; une tempête de neige à Iqaluit, dans les Territoires du Nord-Ouest, fait descendre la température à -40°C ; des vents de 100 km/h et une tempête de neige forcent les résidents à rester à l'intérieur pendant dix jours.	0	0	0			20/02/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Calgary (AB)	01/01/1979 12:00:00 AM	Calgary (AB), 1979. L'inondation est causée par une tempête de grêle.	0	0	0			01/01/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Lethbridge (AB)	01/01/1979 12:00:00 AM	Lethbridge (AB), 1979. L'inondation est causée par une pluie d'orage.	0	0	0			01/01/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Explosion	Non résidentiel	Millwoods (AB)	01/01/1979 12:00:00 AM	Région de Millwoods (AB), 1979.	0	0	0			01/01/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Peace River (AB)	01/01/1979 12:00:00 AM	Peace River (AB), 1979.	0	0	0			01/01/1979 12:00:00 AM	0.0000	0.0000						0	0.0	
